"DATA/CZAS";"TYP";"ZLECENIE#";"TRANSAKCJA#";"ZLECENIE POWIĄZANE#";"INSTRUMENT";"JEDNOSTKI/IL.";"CENA";"TOLERANCJA CENA";"STOP LOSS";"TAKE PROFIT";"DEPOZYT ZABEZPIECZAJĄCY (PLN)";"KURS WYMIANY";"WARTOŚĆ POZYCJI (PLN)";"ZAKSIĘGOWANA KWOTA (PLN)";"SALDO (PLN)";"WARTOŚĆ WYŁĄCZAJĄC OPŁATĘ";"OPŁATA";"KOSZTY UTRZYMANIA POZYCJI - WARTOŚĆ POZYCJI";"STAWKA ZA UTRZYMANIE POZYCJI";"KOSZTY UTRZYMANIA POZYCJI (PLN)";"KOSZTY UTRZYMANIA POZYCJI - WYRÓWNANIE (PLN)";"KOSZTY UTRZYMANIA POZYCJI - SUMA (PLN)";"OPŁATA";"ZWROT %";"KIERUNEK";"WYPŁATA GDY ZYSK";"WYPŁATA GDY BEZ ZMIANY";"OTWARCIE";"WYGAŚNIĘCIE";"ROZLICZENIE";"CENA ROZLICZENIA";"WYNIK";"WYPŁATA";"TYP";"WYGAŚNIĘCIE";"CENA WYKONAWCZA";"ROZLICZENIE";"CENA ROZLICZENIA";"ZYSK";"STRATA"
"24 Sie 2020 16:43:21";"Odrzucono Zlecenie: brak wystarczających środków";"O4-86-42R2JV";"-";"-";"Złoto - Kasowy";"0,828 Jednost.";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 15:59:13";" Transakcja Kupna";"O4-86-42QV7V";"T4-86-38WD09";"-";"Złoto - Kasowy";"0,828 Jednost.";"1 939,69";"-";"1 920,24";"-";"-";"3,725";"5 982,58";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 15:12:57";" Transakcja Kupna";"O4-86-42QLVN";"T4-86-38W5JK";"-";"Złoto - Kasowy";"0,828 Jednost.";"1 944,78";"-";"1 925,32";"-";"-";"3,72218";"5 993,74";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 15:11:57";"Stop Loss";"O4-86-42QJMN";"T4-86-38W5GX";"-";"Złoto - Kasowy";"0,4 Jednost.";"1 943,55";"-";"-";"-";"-";"3,723";"2 894,33";"-4,99";"469,34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 14:42:02";"Zmodyfikowano Stop Loss";"O4-86-42QJMN";"-";"O4-86-42QJMP";"Złoto - Kasowy";"0,4 Jednost.";"1 946,9";"-";"1 943,55";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 14:41:54";" Zamknięcie Transakcji";"O4-86-42QJR9";"T4-86-38W3Z9";"O4-86-42QJHS";"Złoto - Kasowy";"0,4 Jednost.";"1 948,08";"-";"-";"-";"-";"3,70555";"2 904,86";"0,00";"474,33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 14:40:26";" Transakcja Kupna";"O4-86-42QJMN";"T4-86-38W3WC";"-";"Złoto - Kasowy";"0,4 Jednost.";"1 946,9";"-";"1 927,37";"-";"-";"3,72913";"2 904,09";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 14:39:12";" Transakcja Kupna";"O4-86-42QJHS";"T4-86-38W3SG";"-";"Złoto - Kasowy";"0,4 Jednost.";"1 948,08";"-";"1 928,55";"-";"-";"3,72952";"2 906,16";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 10:52:34";"Odrzucono Zlecenie: brak wystarczających środków";"O4-86-42Q2BL";"-";"-";"Cukier Biały - Kasowy";"2 Jednost.";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 23:00:32";"Koszty Utrzymania Pozycji";"853375694";"-";"-";"Rachunek";"-";"-";"-";"-";"-";"-";"-";"-";"-15,96";"474,33";"-";"-";"-";"-";"-";"-";"-15,96";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 23:00:32";"Koszty Utrzymania Pozycji";"O4-83-42MC3P";"-";"-";"Gaz Ziemny - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"361,50";"-61,49393%";"-6,86";"0,00";"-6,86";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 23:00:32";"Koszty Utrzymania Pozycji";"O4-83-42M77Y";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"806,37";"-1,98377%";"-0,49";"0,00";"-0,49";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 23:00:32";"Koszty Utrzymania Pozycji";"O4-83-42N13N";"-";"-";"Germany 30 - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"225,20";"-2,48299%";"-0,20";"0,00";"-0,20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 23:00:32";"Koszty Utrzymania Pozycji";"O4-83-42M7E9";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"806,37";"-1,98377%";"-0,49";"0,00";"-0,49";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 23:00:32";"Koszty Utrzymania Pozycji";"O4-83-42MJHF";"-";"-";"Germany 30 - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"225,20";"-2,48299%";"-0,20";"0,00";"-0,20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 23:00:32";"Koszty Utrzymania Pozycji";"O4-83-42M2CP";"-";"-";"EUR/USD";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"400,00";"0,29929%";"-0,04";"0,00";"-0,04";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 23:00:32";"Koszty Utrzymania Pozycji";"O4-83-42M26H";"-";"-";"Gaz Ziemny - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"361,50";"-61,49393%";"-6,86";"0,00";"-6,86";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 23:00:32";"Koszty Utrzymania Pozycji";"O4-83-42M25M";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1 343,31";"-1,98377%";"-0,82";"0,00";"-0,82";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 15:11:51";"Zmodyfikowano Stop Loss";"O4-83-42MC3P";"-";"O4-83-42MC3Q";"Gaz Ziemny - Kasowy";"150 Jednost.";"2,36";"-";"2,206";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 15:00:45";" Transakcja Kupna";"O4-83-42N13N";"T4-83-38T3MG";"-";"Germany 30 - Kasowy";"0,0176 Jednost.";"12 654,14";"-";"12 527,59";"-";"-";"4,42133";"984,68";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 14:20:48";"Zmodyfikowano Stop Loss";"O4-83-42MJHF";"-";"O4-83-42MJHG";"Germany 30 - Kasowy";"0,0176 Jednost.";"12 823,25";"-";"12 449,19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 14:03:17";"Zmodyfikowano Stop Loss";"O4-83-42MJHF";"-";"O4-83-42MJHG";"Germany 30 - Kasowy";"0,0176 Jednost.";"12 823,25";"-";"12 635,84";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 14:01:21";"Stop Loss";"O4-83-42M29C";"T4-83-38SWL6";"-";"Germany 30 - Kasowy";"0,0176 Jednost.";"12 722,84";"-";"-";"-";"-";"4,41073";"987,65";"-9,98";"490,29";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 13:57:29";"Zmodyfikowano Stop Loss";"O4-83-42M7E9";"-";"O4-83-42M7EB";"Złoto - Kasowy";"0,416 Jednost.";"1 931,85";"-";"1 899,44";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 13:57:24";"Zmodyfikowano Stop Loss";"O4-83-42M77Y";"-";"O4-83-42M77Z";"Złoto - Kasowy";"0,416 Jednost.";"1 932,72";"-";"1 899,28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 13:40:11";"Zmodyfikowano Stop Loss";"O4-83-42M25M";"-";"O4-83-42M25N";"Złoto - Kasowy";"0,693 Jednost.";"1 937,86";"-";"1 899,67";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 13:14:30";"Odrzucono Zlecenie: brak wystarczających środków";"O4-83-42MLMS";"-";"-";"Gaz Ziemny - Kasowy";"150 Jednost.";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 12:49:20";" Transakcja Kupna";"O4-83-42MJHF";"T4-83-38SNQB";"-";"Germany 30 - Kasowy";"0,0176 Jednost.";"12 823,25";"-";"12 695,11";"-";"-";"4,4078";"994,79";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 11:13:31";"Zmodyfikowano Stop Loss";"O4-83-42MC3P";"-";"O4-83-42MC3Q";"Gaz Ziemny - Kasowy";"150 Jednost.";"2,36";"-";"2,250";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 11:13:25";"Zmodyfikowano Stop Loss";"O4-83-42MC3P";"-";"O4-83-42MC3Q";"Gaz Ziemny - Kasowy";"150 Jednost.";"2,36";"-";"2,315";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 11:13:20";" Transakcja Kupna";"O4-83-42MC3P";"T4-83-38SHCQ";"-";"Gaz Ziemny - Kasowy";"150 Jednost.";"2,36";"-";"2,336";"-";"-";"3,72685";"1 319,30";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 10:28:23";" Transakcja Kupna";"O4-83-42M7E9";"T4-83-38SEGH";"-";"Złoto - Kasowy";"0,416 Jednost.";"1 931,85";"-";"1 912,51";"-";"-";"3,7277";"2 995,76";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 10:27:02";" Transakcja Kupna";"O4-83-42M77Y";"T4-83-38SEC8";"-";"Złoto - Kasowy";"0,416 Jednost.";"1 932,72";"-";"1 913,37";"-";"-";"3,72755";"2 996,99";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 09:36:01";"Transakcja Sprzedaży";"O4-83-42M2CP";"T4-83-38S9N2";"-";"EUR/USD";"400,00";"1,18334";"-";"1,19520";"-";"-";"4,39829";"1 759,31";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 09:35:24";" Transakcja Kupna";"O4-83-42M29C";"T4-83-38S9LR";"-";"Germany 30 - Kasowy";"0,0176 Jednost.";"12 851,36";"-";"12 722,84";"-";"-";"4,3965";"994,41";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 09:34:57";" Transakcja Kupna";"O4-83-42M26H";"T4-83-38S9DB";"-";"Gaz Ziemny - Kasowy";"150 Jednost.";"2,384";"-";"2,206";"-";"-";"3,71401";"1 328,12";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 09:34:49";" Transakcja Kupna";"O4-83-42M25M";"T4-83-38S9CM";"-";"Złoto - Kasowy";"0,693 Jednost.";"1 937,86";"-";"1 918,48";"-";"-";"3,71411";"4 987,81";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 21:38:43";"Aktywowano";"-";"-";"-";"Akcje amerykańskie ";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 17:39:14";" Zamknięcie Transakcji";"O4-83-42H3MD";"T4-83-38R7QS";"O4-83-42FLT5";"Germany 30 - Kasowy";"0,0176 Jednost.";"12 850,49";"-";"-";"-";"-";"4,3712";"994,57";"1,90";"500,27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 17:39:14";" Zamknięcie Transakcji";"O4-83-42H3MD";"T4-83-38R7QR";"O4-83-42FL07";"Germany 30 - Kasowy";"0,0177 Jednost.";"12 850,49";"-";"-";"-";"-";"4,3975";"1 000,22";"-0,44";"498,37";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 17:39:14";" Zamknięcie Transakcji";"O4-83-42H3MD";"T4-83-38R7QQ";"O4-83-42FK0D";"Germany 30 - Kasowy";"0,0177 Jednost.";"12 850,49";"-";"-";"-";"-";"4,3975";"1 000,22";"-1,80";"498,81";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 17:39:10";" Zamknięcie Transakcji";"O4-83-42H3M2";"T4-83-38R7QK";"O4-83-42FK3P";"Gaz Ziemny - Kasowy";"150 Jednost.";"2,376";"-";"-";"-";"-";"3,70827";"1 321,62";"-21,14";"500,61";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 17:39:05";" Zamknięcie Transakcji";"O4-83-42H3LP";"T4-83-38R7QB";"O4-83-42FK6L";"EUR/USD";"400,00";"1,18578";"-";"-";"-";"-";"3,70827";"1 759,03";"-0,99";"521,75";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 17:38:59";" Zamknięcie Transakcji";"O4-83-42H3LF";"T4-83-38R7Q5";"O4-83-42GW51";"Złoto - Kasowy";"0,693 Jednost.";"1 950,97";"-";"-";"-";"-";"3,68616";"5 013,75";"28,56";"522,74";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 17:38:59";" Zamknięcie Transakcji";"O4-83-42H3LF";"T4-83-38R7Q4";"O4-83-42GTFR";"Złoto - Kasowy";"2,08 Jednost.";"1 950,97";"-";"-";"-";"-";"3,68616";"15 048,50";"117,31";"494,18";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 16:24:55";"Odrzucono Zlecenie: brak wystarczających środków";"O4-83-42GW70";"-";"-";"Złoto - Kasowy";"0,4 Jednost.";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 16:24:49";"Odrzucono Zlecenie: brak wystarczających środków";"O4-83-42GW6H";"-";"-";"Złoto - Kasowy";"0,4 Jednost.";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 16:24:18";" Transakcja Kupna";"O4-83-42GW51";"T4-83-38R1DM";"-";"Złoto - Kasowy";"0,693 Jednost.";"1 939,79";"-";"1 920,31";"-";"-";"3,71865";"4 998,88";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 16:24:06";"Odrzucono Zlecenie: brak wystarczających środków";"O4-83-42GW4F";"-";"-";"Złoto - Kasowy";"0,97 Jednost.";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 16:23:55";"Odrzucono Zlecenie: brak wystarczających środków";"O4-83-42GW3W";"-";"-";"Złoto - Kasowy";"2,08 Jednost.";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 16:20:34";"Odrzucono Zlecenie: brak wystarczających środków";"O4-83-42GVM4";"-";"-";"Złoto - Kasowy";"2,08 Jednost.";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 16:11:19";" Transakcja Kupna";"O4-83-42GTFR";"T4-83-38QZX0";"-";"Złoto - Kasowy";"2,08 Jednost.";"1 935,67";"-";"1 916,38";"-";"-";"3,71817";"14 970,07";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 16:11:13";" Zamknięcie Transakcji";"O4-83-42GTEZ";"T4-83-38QZWN";"O4-83-42GGT5";"Złoto - Kasowy";"2,08 Jednost.";"1 935,48";"-";"-";"-";"-";"3,71817";"14 968,60";"-17,56";"376,87";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 15:12:21";"Transakcja Sprzedaży";"O4-83-42GGT5";"T4-83-38QNS0";"-";"Złoto - Kasowy";"2,08 Jednost.";"1 933,21";"-";"1 952,56";"-";"-";"3,73026";"14 999,66";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 15:12:12";" Zamknięcie Transakcji";"O4-83-42GGS4";"T4-83-38QNQZ";"O4-83-42FSE7";"Złoto - Kasowy";"0,416 Jednost.";"1 932,99";"-";"-";"-";"-";"3,7079";"2 999,55";"7,47";"394,43";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 15:12:12";" Zamknięcie Transakcji";"O4-83-42GGS4";"T4-83-38QNQY";"O4-83-42FS5Y";"Złoto - Kasowy";"0,416 Jednost.";"1 932,99";"-";"-";"-";"-";"3,7079";"2 999,55";"4,10";"386,96";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 15:12:12";" Zamknięcie Transakcji";"O4-83-42GGS4";"T4-83-38QNQX";"O4-83-42FS18";"Złoto - Kasowy";"0,416 Jednost.";"1 932,99";"-";"-";"-";"-";"3,7079";"2 999,55";"7,82";"382,86";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 15:12:12";" Zamknięcie Transakcji";"O4-83-42GGS4";"T4-83-38QNQW";"O4-83-42FK2D";"Złoto - Kasowy";"0,4 Jednost.";"1 932,99";"-";"-";"-";"-";"3,73022";"2 884,19";"-19,07";"375,04";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 10:25:30";" Transakcja Kupna";"O4-83-42FSE7";"T4-83-38Q3MQ";"-";"Złoto - Kasowy";"0,416 Jednost.";"1 928,15";"-";"1 908,85";"-";"-";"3,73057";"2 992,32";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 10:24:24";" Transakcja Kupna";"O4-83-42FS5Y";"T4-83-38Q3CP";"-";"Złoto - Kasowy";"0,416 Jednost.";"1 930,33";"-";"1 911,02";"-";"-";"3,72966";"2 994,98";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 10:22:55";" Transakcja Kupna";"O4-83-42FS18";"T4-83-38Q37Y";"-";"Złoto - Kasowy";"0,416 Jednost.";"1 927,92";"-";"1 908,64";"-";"-";"3,73166";"2 992,84";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 10:22:19";"Stop Loss";"O4-83-42FQXG";"T4-83-38Q35R";"-";"Złoto - Kasowy";"0,416 Jednost.";"1 927,75";"-";"-";"-";"-";"3,73347";"2 994,03";"-2,00";"394,11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 10:18:13";"Zmodyfikowano Stop Loss";"O4-83-42FQXG";"-";"O4-83-42FQXH";"Złoto - Kasowy";"0,416 Jednost.";"1 929,04";"-";"1 927,75";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 10:18:03";" Zamknięcie Transakcji";"O4-83-42FRC8";"T4-83-38Q2M9";"O4-83-42FNR9";"Złoto - Kasowy";"0,416 Jednost.";"1 931,66";"-";"-";"-";"-";"3,72549";"2 993,69";"-4,45";"396,11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 10:15:22";" Transakcja Kupna";"O4-83-42FQXG";"T4-83-38Q278";"-";"Złoto - Kasowy";"0,416 Jednost.";"1 929,04";"-";"1 909,63";"-";"-";"3,72668";"2 990,58";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 09:54:48";" Transakcja Kupna";"O4-83-42FNR9";"T4-83-38Q0E0";"-";"Złoto - Kasowy";"0,416 Jednost.";"1 934,53";"-";"1 915,18";"-";"-";"3,71898";"2 992,90";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 09:54:41";"Odrzucono Zlecenie: brak wystarczających środków";"O4-83-42FNQW";"-";"-";"Złoto - Kasowy";"3,411 Jednost.";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20 Sie 2020 09:39:18";"Transakcja Sprzedaży";"O4-83-42FLT5";"T4-83-38PYS3";"-";"Germany 30 - Kasowy";"0,0176 Jednost.";"12 875,13";"-";"13 004,64";"-";"-";"4,40378";"997,90";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
